investigation	investigation#	investigation+N+SG
situations	situation^s#	situation+N+PL
person	person#	person+N+SG
position	position#	position+N+SG
filling	filling#	filling+N+SG
job	job#	job+N+SG
occupant	occupant#	occupant+N+SG
strike	strike#	strike+N+SG
course	course#	course+N+SG
labor	labor#	labor+N+SG
dispute	dispute#	dispute+N+SG
filling	filling#	filling+N+SG
issue	issue#	issue+N+SG
labor	labor#	labor+N+SG
dispute	dispute#	dispute+N+SG
respect	respect#	respect+N+SG
positions	position^s#	position+N+PL
subparagraph	subparagraph#	subparagraph+N+SG
paragraph	paragraph#	paragraph+N+SG
individual	individual#	individual+N+SG
place	place#	place+N+SG
employment	employment#	employment+N+SG
labor	labor#	labor+N+SG
dispute	dispute#	dispute+N+SG
notice	notice#	notice+N+SG
dispute	dispute#	dispute+N+SG
time	time#	time+N+SG
referral	referral#	referral+N+SG
regulation	regulation#	regulation+N+SG
sentence	sentence#	sentence+N+SG
referrals	referral^s#	referral+N+PL
circumstances	circumstance^s#	circumstance+N+PL
labor	labor#	labor+N+SG
dispute	dispute#	dispute+N+SG
individual	individual#	individual+N+SG
notice	notice#	notice+N+SG
dispute	dispute#	dispute+N+SG
example	example#	example+N+SG
situation	situation#	situation+N+SG
farm	farm#	farm+N+SG
shed	shed#	shed+N+SG
fields	field^s#	field+N+PL
shed	shed#	shed+N+SG
workers	worker^s#	worker+N+PL
strike	strike#	strike+N+SG
dispute	dispute#	dispute+N+SG
fieldwork	fieldwork#	fieldwork+N+SG
workers	worker^s#	worker+N+PL
fieldwork	fieldwork#	fieldwork+N+SG
shed	shed#	shed+N+SG
work	work#	work+N+SG
notice	notice#	notice+N+SG
shed	shed#	shed+N+SG
dispute	dispute#	dispute+N+SG
cases	cas^s#	cas+N+PL
provision	provision#	provision+N+SG
part	part#	part+N+SG
issue	issue#	issue+N+SG
referrals	referral^s#	referral+N+PL
condition	condition#	condition+N+SG
condition	condition#	condition+N+SG
Employer	employer#	employer+N+SG
representatives	representative^s#	representative+N+PL
authority	authority#	authority+N+SG
prohibition	prohibition#	prohibition+N+SG
grounds	ground^s#	ground+N+PL
notice	notice#	notice+N+SG
worker	worker#	worker+N+SG
dispute	dispute#	dispute+N+SG
matter	matter#	matter+N+SG
courts	court^s#	court+N+PL
way	way#	way+N+SG
strikes	strike^s#	strike+N+PL
AWOC	awoc#	awoc+N+SG
pear	pear#	pear+N+SG
orchards	orchard^s#	orchard+N+PL
labor	labor#	labor+N+SG
dispute	dispute#	dispute+N+SG
workers	worker^s#	worker+N+PL
jobs	job^s#	job+N+PL
dispute	dispute#	dispute+N+SG
clause	clause#	clause+N+SG
referrals	referral^s#	referral+N+PL
employer	employer#	employer+N+SG
nationals	national^s#	national+N+PL
employer	employer#	employer+N+SG
harvest	harvest#	harvest+N+SG
right	right#	right+N+SG
referrals	referral^s#	referral+N+PL
relief	relief#	relief+N+SG
court	court#	court+N+SG
order	order#	order+N+SG
referrals	referral^s#	referral+N+PL
course	course#	course+N+SG
court	court#	court+N+SG
order	order#	order+N+SG
request	request#	request+N+SG
jurisdiction	jurisdiction#	jurisdiction+N+SG
issue	issue#	issue+N+SG
grounds	ground^s#	ground+N+PL
issue	issue#	issue+N+SG
validity	validity#	validity+N+SG
provisions	provision^s#	provision+N+PL
regulations	regulation^s#	regulation+N+PL
matter	matter#	matter+N+SG
jurisdiction	jurisdiction#	jurisdiction+N+SG
order	order#	order+N+SG
order	order#	order+N+SG
workers	worker^s#	worker+N+PL
ranch	ranch#	ranch+N+SG
case	case#	case+N+SG
ranch	ranch#	ranch+N+SG
county	county#	county+N+SG
orders	order^s#	order+N+PL
growers	grower^s#	grower+N+PL
decisions	decision^s#	decision+N+PL
instructions	instruction^s#	instruction+N+PL
staff	staff#	staff+N+SG
provision	provision#	provision+N+SG
view	view#	view+N+SG
lawyer	lawyer#	lawyer+N+SG
administrator	administrator#	administrator+N+SG
considerations	consideration^s#	consideration+N+PL
principle	principle#	principle+N+SG
decision	decision#	decision+N+SG
precedent	precedent#	precedent+N+SG
parties	party^s#	party+N+PL
action	action#	action+N+SG
contrary	contrary#	contrary+N+SG
decision	decision#	decision+N+SG
course	course#	course+N+SG
precedent	precedent#	precedent+N+SG
event	event#	event+N+SG
interpretation	interpretation#	interpretation+N+SG
matter	matter#	matter+N+SG
confidence	confidence#	confidence+N+SG
policy	policy#	policy+N+SG
need	need#	need+N+SG
precedent	precedent#	precedent+N+SG
decision	decision#	decision+N+SG
decisions	decision^s#	decision+N+PL
effect	effect#	effect+N+SG
interpretation	interpretation#	interpretation+N+SG
power	power#	power+N+SG
law	law#	law+N+SG
company	company#	company+N+SG
view	view#	view+N+SG
interpretation	interpretation#	interpretation+N+SG
appeal	appeal#	appeal+N+SG
decisions	decision^s#	decision+N+PL
power	power#	power+N+SG
regulations	regulation^s#	regulation+N+PL
recruitment	recruitment#	recruitment+N+SG
farm	farm#	farm+N+SG
workers	worker^s#	worker+N+PL
opinion	opinion#	opinion+N+SG
authority	authority#	authority+N+SG
evidence	evidence#	evidence+N+SG
intent	intent#	intent+N+SG
majority	majority#	majority+N+SG
authority	authority#	authority+N+SG
matters	matter^s#	matter+N+PL
program	program#	program+N+SG
implications	implication^s#	implication+N+PL
failure	failure#	failure+N+SG
part	part#	part+N+SG
appeals	appeal^s#	appeal+N+PL
stake	stake#	stake+N+SG
parties	party^s#	party+N+PL
matter	matter#	matter+N+SG
midair	midair#	midair+N+SG
ramifications	ramification^s#	ramification+N+PL
issue	issue#	issue+N+SG
decision	decision#	decision+N+SG
workers	worker^s#	worker+N+PL
jobs	job^s#	job+N+PL
strike	strike#	strike+N+SG
situations	situation^s#	situation+N+PL
might	might#	might+N+SG
effect	effect#	effect+N+SG
employment	employment#	employment+N+SG
services	service^s#	service+N+PL
position	position#	position+N+SG
strikebreakers	strikebreaker^s#	strikebreaker+N+PL
interest	interest#	interest+N+SG
issue	issue#	issue+N+SG
order	order#	order+N+SG
conclusions	conclusion^s#	conclusion+N+PL
summary	summary#	summary+N+SG
action	action#	action+N+SG
issue	issue#	issue+N+SG
finality	finality#	finality+N+SG
administrator	administrator#	administrator+N+SG
jeopardy	jeopardy#	jeopardy+N+SG
compliance	compliance#	compliance+N+SG
laws	law^s#	law+N+PL
failure	failure#	failure+N+SG
avenues	avenue^s#	avenue+N+PL
appeal	appeal#	appeal+N+SG
decisions	decision^s#	decision+N+PL
cases	cas^s#	cas+N+PL
opinion	opinion#	opinion+N+SG
compliance	compliance#	compliance+N+SG
way	way#	way+N+SG
noncompliance	noncompliance#	noncompliance+N+SG
date	date#	date+N+SG
hearing	hearing#	hearing+N+SG
finding	finding#	finding+N+SG
impact	impact#	impact+N+SG
noncompliance	noncompliance#	noncompliance+N+SG
withdrawal	withdrawal#	withdrawal+N+SG
year	year#	year+N+SG
funds	fund^s#	fund+N+PL
employment	employment#	employment+N+SG
service	service#	service+N+SG
program	program#	program+N+SG
corollary	corollary#	corollary+N+SG
operation	operation#	operation+N+SG
cases	cas^s#	cas+N+PL
courts	court^s#	court+N+PL
issue	issue#	issue+N+SG
referral	referral#	referral+N+SG
job	job#	job+N+SG
strike	strike#	strike+N+SG
condition	condition#	condition+N+SG
condition	condition#	condition+N+SG
referral	referral#	referral+N+SG
jobs	job^s#	job+N+PL
filling	filling#	filling+N+SG
issue	issue#	issue+N+SG
labor	labor#	labor+N+SG
dispute	dispute#	dispute+N+SG
problem	problem#	problem+N+SG
word	word#	word+N+SG
sense	sense#	sense+N+SG
elements	element^s#	element+N+PL
job	job#	job+N+SG
specifications	specification^s#	specification+N+PL
union	union#	union+N+SG
membership	membership#	membership+N+SG
union	union#	union+N+SG
jurisdiction	jurisdiction#	jurisdiction+N+SG
connotation	connotation#	connotation+N+SG
wage	wage#	wage+N+SG
demands	demand^s#	demand+N+PL
factors	factor^s#	factor+N+PL
mechanics	mechanic^s#	mechanic+N+PL
job	job#	job+N+SG
uncertainty	uncertainty#	uncertainty+N+SG
definition	definition#	definition+N+SG
interpretation	interpretation#	interpretation+N+SG
interpretation	interpretation#	interpretation+N+SG
wages	wage^s#	wage+N+PL
example	example#	example+N+SG
issue	issue#	issue+N+SG
labor	labor#	labor+N+SG
dispute	dispute#	dispute+N+SG
workers	worker^s#	worker+N+PL
jobs	job^s#	job+N+PL
dispute	dispute#	dispute+N+SG
referrals	referral^s#	referral+N+PL
evidence	evidence#	evidence+N+SG
infants	infant^s#	infant+N+PL
children	children#	children+N+SG
problems	problem^s#	problem+N+PL
level	level#	level+N+SG
objects	object^s#	object+N+PL
concepts	concept^s#	concept+N+PL
necessity	necessity#	necessity+N+SG
objects	object^s#	object+N+PL
ability	ability#	ability+N+SG
age	age#	age+N+SG
experiment	experiment#	experiment+N+SG
difference	difference#	difference+N+SG
years	year^s#	year+N+PL
studies	study^s#	study+N+PL
interests	interest^s#	interest+N+PL
field	field#	field+N+SG
science	science#	science+N+SG
questions	question^s#	question+N+PL
interest	interest#	interest+N+SG
processes	process^s#	process+N+PL
events	event^s#	event+N+PL
interests	interest^s#	interest+N+PL
capabilities	capability^s#	capability+N+PL
child	child#	child+N+SG
people	people#	people+N+SG
tasks	task^s#	task+N+PL
school	school#	school+N+SG
influence	influence#	influence+N+SG
success	succes^s#	succes+N+PL
school	school#	school+N+SG
characteristics	characteristic^s#	characteristic+N+PL
amount	amount#	amount+N+SG
evidence	evidence#	evidence+N+SG
child	child#	child+N+SG
school	school#	school+N+SG
subjects	subject^s#	subject+N+PL
maturity	maturity#	maturity+N+SG
result	result#	result+N+SG
factors	factor^s#	factor+N+PL
ones	one^s#	one+N+PL
experiences	experience^s#	experience+N+PL
years	year^s#	year+N+PL
life	life#	life+N+SG
teacher	teacher#	teacher+N+SG
influence	influence#	influence+N+SG
emotions	emotion^s#	emotion+N+PL
behavior	behavior#	behavior+N+SG
pupils	pupil^s#	pupil+N+PL
confidence	confidence#	confidence+N+SG
security	security#	security+N+SG
satisfaction	satisfaction#	satisfaction+N+SG
responsibility	responsibility#	responsibility+N+SG
teacher	teacher#	teacher+N+SG
suggestions	suggestion^s#	suggestion+N+PL
children	children#	children+N+SG
control	control#	control+N+SG
emotions	emotion^s#	emotion+N+PL
generalizations	generalization^s#	generalization+N+PL
characteristics	characteristic^s#	characteristic+N+PL
children	children#	children+N+SG
reactions	reaction^s#	reaction+N+PL
time	time#	time+N+SG
adult	adult#	adult+N+SG
child	child#	child+N+SG
reactions	reaction^s#	reaction+N+PL
moods	mood^s#	mood+N+PL
states	state^s#	state+N+PL
period	period#	period+N+SG
time	time#	time+N+SG
outbursts	outburst^s#	outburst+N+PL
Studies	study^s#	study+N+PL
growth	growth#	growth+N+SG
decline	decline#	decline+N+SG
fears	fear^s#	fear+N+PL
fears	fear^s#	fear+N+PL
objects	object^s#	object+N+PL
noises	nois^s#	nois+N+PL
movement	movement#	movement+N+SG
years	year^s#	year+N+PL
fears	fear^s#	fear+N+PL
dark	dark#	dark+N+SG
creatures	creature^s#	creature+N+PL
robbers	robber^s#	robber+N+PL
child	child#	child+N+SG
situation	situation#	situation+N+SG
ways	way^s#	way+N+PL
problem	problem#	problem+N+SG
solutions	solution^s#	solution+N+PL
explanations	explanation^s#	explanation+N+PL
example	example#	example+N+SG
child	child#	child+N+SG
object	object#	object+N+SG
place	place#	place+N+SG
person	person#	person+N+SG
Children	children#	children+N+SG
help	help#	help+N+SG
emotions	emotion^s#	emotion+N+PL
child	child#	child+N+SG
parents	parent^s#	parent+N+PL
teachers	teacher^s#	teacher+N+PL
temper	temper#	temper+N+SG
tantrums	tantrum^s#	tantrum+N+PL
child	child#	child+N+SG
outbursts	outburst^s#	outburst+N+PL
approval	approval#	approval+N+SG
peers	peer^s#	peer+N+PL
effort	effort#	effort+N+SG
emotions	emotion^s#	emotion+N+PL
Children	children#	children+N+SG
responses	respons^s#	respons+N+PL
infants	infant^s#	infant+N+PL
patterns	pattern^s#	pattern+N+PL
responses	respons^s#	respons+N+PL
influence	influence#	influence+N+SG
environment	environment#	environment+N+SG
behavior	behavior#	behavior+N+SG
norms	norm^s#	norm+N+PL
development	development#	development+N+SG
children	children#	children+N+SG
teacher	teacher#	teacher+N+SG
deal	deal#	deal+N+SG
information	information#	information+N+SG
types	type^s#	type+N+PL
behavior	behavior#	behavior+N+SG
children	children#	children+N+SG
age	age#	age+N+SG
levels	level^s#	level+N+PL
summary	summary#	summary+N+SG
student	student#	student+N+SG
idea	idea#	idea+N+SG
characteristics	characteristic^s#	characteristic+N+PL
children	children#	children+N+SG
student	student#	student+N+SG
study	study#	study+N+SG
individuals	individual^s#	individual+N+PL
needs	need^s#	need+N+PL
time	time#	time+N+SG
rules	rule^s#	rule+N+PL
game	game#	game+N+SG
number	number#	number+N+SG
groups	group^s#	group+N+PL
membership	membership#	membership+N+SG
childhood	childhood#	childhood+N+SG
children	children#	children+N+SG
approval	approval#	approval+N+SG
parents	parent^s#	parent+N+PL
teachers	teacher^s#	teacher+N+PL
approval	approval#	approval+N+SG
children	children#	children+N+SG
school	school#	school+N+SG
years	year^s#	year+N+PL
interest	interest#	interest+N+SG
playmates	playmate^s#	playmate+N+PL
age	age#	age+N+SG
interest	interest#	interest+N+SG
adults	adult^s#	adult+N+PL
child	child#	child+N+SG
treat	treat#	treat+N+SG
parents	parent^s#	parent+N+PL
picnics	picnic^s#	picnic+N+PL
family	family#	family+N+SG
gatherings	gathering^s#	gathering+N+PL
bore	bore#	bore+N+SG
childhood	childhood#	childhood+N+SG
influence	influence#	influence+N+SG
group	group#	group+N+SG
behavior	behavior#	behavior+N+SG
child	child#	child+N+SG
group	group#	group+N+SG
styles	style^s#	style+N+PL
clothing	clothing#	clothing+N+SG
kind	kind#	kind+N+SG
play	play#	play+N+SG
ideals	ideal^s#	ideal+N+PL
behavior	behavior#	behavior+N+SG
childhood	childhood#	childhood+N+SG
choice	choice#	choice+N+SG
companion	companion#	companion+N+SG
child	child#	child+N+SG
age	age#	age+N+SG
year	year#	year+N+SG
things	thing^s#	thing+N+PL
factors	factor^s#	factor+N+PL
sex	sex#	sex+N+SG
intelligence	intelligence#	intelligence+N+SG
status	statu^s#	statu+N+PL
group	group#	group+N+SG
choice	choice#	choice+N+SG
time	time#	time+N+SG
childhood	childhood#	childhood+N+SG
interest	interest#	interest+N+SG
team	team#	team+N+SG
games	game^s#	game+N+PL
play	play#	play+N+SG
loyalty	loyalty#	loyalty+N+SG
group	group#	group+N+SG
feeling	feeling#	feeling+N+SG
superiority	superiority#	superiority+N+SG
members	member^s#	member+N+PL
unwillingness	unwillingnes^s#	unwillingnes+N+PL
members	member^s#	member+N+PL
sex	sex#	sex+N+SG
traits	trait^s#	trait+N+PL
childhood	childhood#	childhood+N+SG
boys	boy^s#	boy+N+PL
girls	girl^s#	girl+N+PL
activities	activity^s#	activity+N+PL
children	children#	children+N+SG
childhood	childhood#	childhood+N+SG
boys	boy^s#	boy+N+PL
girls	girl^s#	girl+N+PL
girls	girl^s#	girl+N+PL
boys	boy^s#	boy+N+PL
antics	antic^s#	antic+N+PL
boys	boy^s#	boy+N+PL
age	age#	age+N+SG
time	time#	time+N+SG
pupils	pupil^s#	pupil+N+PL
grade	grade#	grade+N+SG
standards	standard^s#	standard+N+PL
interest	interest#	interest+N+SG
problems	problem^s#	problem+N+PL
notions	notion^s#	notion+N+PL
terms	term^s#	term+N+PL
school	school#	school+N+SG
work	work#	work+N+SG
ages	age^s#	age+N+PL
years	year^s#	year+N+PL
negativism	negativism#	negativism+N+SG
resistance	resistance#	resistance+N+SG
adult	adult#	adult+N+SG
authority	authority#	authority+N+SG
year	year#	year+N+SG
childhood	childhood#	childhood+N+SG
child	child#	child+N+SG
standards	standard^s#	standard+N+PL
peer	peer#	peer+N+SG
group	group#	group+N+SG
parents	parent^s#	parent+N+PL
teachers	teacher^s#	teacher+N+PL
child	child#	child+N+SG
ability	ability#	ability+N+SG
groups	group^s#	group+N+PL
child	child#	child+N+SG
grades	grade^s#	grade+N+PL
companion	companion#	companion+N+SG
desire	desire#	desire+N+SG
trouble	trouble#	trouble+N+SG
group	group#	group+N+SG
people	people#	people+N+SG
grades	grade^s#	grade+N+PL
group	group#	group+N+SG
activities	activity^s#	activity+N+PL
leader	leader#	leader+N+SG
plans	plan^s#	plan+N+PL
group	group#	group+N+SG
activities	activity^s#	activity+N+PL
rules	rule^s#	rule+N+PL
enterprise	enterprise#	enterprise+N+SG
progress	progres^s#	progres+N+PL
decades	decade^s#	decade+N+PL
techniques	technique^s#	technique+N+PL
children	children#	children+N+SG
classroom	classroom#	classroom+N+SG
children	children#	children+N+SG
needs	need^s#	need+N+PL
school	school#	school+N+SG
program	program#	program+N+SG
ability	ability#	ability+N+SG
others	other^s#	other+N+PL
life	life#	life+N+SG
classroom	classroom#	classroom+N+SG
children	children#	children+N+SG
adults	adult^s#	adult+N+PL
school	school#	school+N+SG
systems	system^s#	system+N+PL
school	school#	school+N+SG
psychologists	psychologist^s#	psychologist+N+PL
child	child#	child+N+SG
guidance	guidance#	guidance+N+SG
specialists	specialist^s#	specialist+N+PL
specialists	specialist^s#	specialist+N+PL
services	service^s#	service+N+PL
teachers	teacher^s#	teacher+N+PL
children	children#	children+N+SG
attention	attention#	attention+N+SG
ways	way^s#	way+N+PL
needs	need^s#	need+N+PL
children	children#	children+N+SG
classroom	classroom#	classroom+N+SG
services	service^s#	service+N+PL
children	children#	children+N+SG
classroom	classroom#	classroom+N+SG
teacher	teacher#	teacher+N+SG
contacts	contact^s#	contact+N+PL
pupils	pupil^s#	pupil+N+PL
position	position#	position+N+SG
principles	principle^s#	principle+N+PL
practice	practice#	practice+N+SG
study	study#	study+N+SG
child	child#	child+N+SG
part	part#	part+N+SG
work	work#	work+N+SG
teacher	teacher#	teacher+N+SG
chore	chore#	chore+N+SG
Teachers	teacher^s#	teacher+N+PL
administrators	administrator^s#	administrator+N+PL
schools	school^s#	school+N+PL
pupils	pupil^s#	pupil+N+PL
grade	grade#	grade+N+SG
groups	group^s#	group+N+PL
basis	basi^s#	basi+N+PL
test	test#	test+N+SG
scores	score^s#	score+N+PL
problem	problem#	problem+N+SG
needs	need^s#	need+N+PL
individuals	individual^s#	individual+N+PL
children	children#	children+N+SG
groups	group^s#	group+N+PL
basis	basi^s#	basi+N+PL
attributes	attribute^s#	attribute+N+PL
success	succes^s#	succes+N+PL
individuals	individual^s#	individual+N+PL
teacher	teacher#	teacher+N+SG
standards	standard^s#	standard+N+PL
differences	difference^s#	difference+N+PL
ability	ability#	ability+N+SG
background	background#	background+N+SG
experience	experience#	experience+N+SG
Studies	study^s#	study+N+PL
sections	section^s#	section+N+PL
children	children#	children+N+SG
schools	school^s#	school+N+PL
progress	progres^s#	progres+N+PL
school	school#	school+N+SG
subjects	subject^s#	subject+N+PL
study	study#	study+N+SG
pupils	pupil^s#	pupil+N+PL
grades	grade^s#	grade+N+PL
percent	percent#	percent+N+SG
pupils	pupil^s#	pupil+N+PL
percent	percent#	percent+N+SG
year	year#	year+N+SG
capacity	capacity#	capacity+N+SG
teacher	teacher#	teacher+N+SG
factors	factor^s#	factor+N+PL
bearing	bearing#	bearing+N+SG
learning	learning#	learning+N+SG
adjustment	adjustment#	adjustment+N+SG
children	children#	children+N+SG
child	child#	child+N+SG
standards	standard^s#	standard+N+PL
school	school#	school+N+SG
rate	rate#	rate+N+SG
insecurity	insecurity#	insecurity+N+SG
unhappiness	unhappines^s#	unhappines+N+PL
forms	form^s#	form+N+PL
maladjustment	maladjustment#	maladjustment+N+SG
maladjustments	maladjustment^s#	maladjustment+N+PL
turn	turn#	turn+N+SG
cycle	cycle#	cycle+N+SG
teacher	teacher#	teacher+N+SG
child	child#	child+N+SG
accordance	accordance#	accordance+N+SG
ability	ability#	ability+N+SG
child	child#	child+N+SG
interest	interest#	interest+N+SG
school	school#	school+N+SG
teacher	teacher#	teacher+N+SG
delinquent	delinquent#	delinquent+N+SG
causes	caus^s#	caus+N+PL
retardation	retardation#	retardation+N+SG
maladjustment	maladjustment#	maladjustment+N+SG
factors	factor^s#	factor+N+PL
speech	speech#	speech+N+SG
hearing	hearing#	hearing+N+SG
vision	vision#	vision+N+SG
motor	motor#	motor+N+SG
coordination	coordination#	coordination+N+SG
constitution	constitution#	constitution+N+SG
disease	disease#	disease+N+SG
malnutrition	malnutrition#	malnutrition+N+SG
malfunctioning	malfunctioning#	malfunctioning+N+SG
health	health#	health+N+SG
habits	habit^s#	habit+N+PL
habits	habit^s#	habit+N+PL
immaturity	immaturity#	immaturity+N+SG
lack	lack#	lack+N+SG
aptitude	aptitude#	aptitude+N+SG
types	type^s#	type+N+PL
school	school#	school+N+SG
work	work#	work+N+SG
curriculum	curriculum#	curriculum+N+SG
others	other^s#	other+N+PL
methods	method^s#	method+N+PL
materials	material^s#	material+N+PL
promotion	promotion#	promotion+N+SG
policies	policy^s#	policy+N+PL
maladjustments	maladjustment^s#	maladjustment+N+PL
children	children#	children+N+SG
family	family#	family+N+SG
relations	relation^s#	relation+N+PL
homes	home^s#	home+N+PL
community	community#	community+N+SG
influences	influence^s#	influence+N+PL
factors	factor^s#	factor+N+PL
list	list#	list+N+SG
factors	factor^s#	factor+N+PL
maladjustment	maladjustment#	maladjustment+N+SG
children	children#	children+N+SG
conditions	condition^s#	condition+N+PL
children	children#	children+N+SG
manner	manner#	manner+N+SG
vision	vision#	vision+N+SG
handicap	handicap#	handicap+N+SG
tension	tension#	tension+N+SG
disability	disability#	disability+N+SG
child	child#	child+N+SG
child	child#	child+N+SG
achievement	achievement#	achievement+N+SG
home	home#	home+N+SG
child	child#	child+N+SG
motivation	motivation#	motivation+N+SG
achievement	achievement#	achievement+N+SG
school	school#	school+N+SG
rate	rate#	rate+N+SG
teacher	teacher#	teacher+N+SG
causes	caus^s#	caus+N+PL
retardation	retardation#	retardation+N+SG
maladjustment	maladjustment#	maladjustment+N+SG
deal	deal#	deal+N+SG
causes	caus^s#	caus+N+PL
pupil	pupil#	pupil+N+SG
discouragement	discouragement#	discouragement+N+SG
failure	failure#	failure+N+SG
maladjustment	maladjustment#	maladjustment+N+SG
teaching	teaching#	teaching+N+SG
information	information#	information+N+SG
pupil	pupil#	pupil+N+SG
situations	situation^s#	situation+N+PL
achievement	achievement#	achievement+N+SG
school	school#	school+N+SG
factors	factor^s#	factor+N+PL
environment	environment#	environment+N+SG
classroom	classroom#	classroom+N+SG
teacher	teacher#	teacher+N+SG
use	use#	use+N+SG
techniques	technique^s#	technique+N+PL
child	child#	child+N+SG
study	study#	study+N+SG
psychologist	psychologist#	psychologist+N+SG
tests	test^s#	test+N+PL
information	information#	information+N+SG
child	child#	child+N+SG
classroom	classroom#	classroom+N+SG
information	information#	information+N+SG
techniques	technique^s#	technique+N+PL
children	children#	children+N+SG
opportunities	opportunity^s#	opportunity+N+PL
connection	connection#	connection+N+SG
classroom	classroom#	classroom+N+SG
activities	activity^s#	activity+N+PL
understanding	understanding#	understanding+N+SG
pupils	pupil^s#	pupil+N+PL
section	section#	section+N+SG
sources	source^s#	source+N+PL
information	information#	information+N+SG
classroom	classroom#	classroom+N+SG
teacher	teacher#	teacher+N+SG
information	information#	information+N+SG
techniques	technique^s#	technique+N+PL
pupil	pupil#	pupil+N+SG
progress	progres^s#	progres+N+PL
school	school#	school+N+SG
systems	system^s#	system+N+PL
system	system#	system+N+SG
records	record^s#	record+N+PL
pupils	pupil^s#	pupil+N+PL
records	record^s#	record+N+PL
information	information#	information+N+SG
children	children#	children+N+SG
teacher	teacher#	teacher+N+SG
guidance	guidance#	guidance+N+SG
instruction	instruction#	instruction+N+SG
parents	parent^s#	parent+N+PL
teacher	teacher#	teacher+N+SG
classroom	classroom#	classroom+N+SG
metal	metal#	metal+N+SG
file	file#	file+N+SG
lock	lock#	lock+N+SG
record	record#	record+N+SG
folders	folder^s#	folder+N+PL
summer	summer#	summer+N+SG
vacation	vacation#	vacation+N+SG
periods	period^s#	period+N+PL
records	record^s#	record+N+PL
office	office#	office+N+SG
principal	principal#	principal+N+SG
teacher	teacher#	teacher+N+SG
personnel	personnel#	personnel+N+SG
records	record^s#	record+N+PL
teacher	teacher#	teacher+N+SG
pupil	pupil#	pupil+N+SG
information	information#	information+N+SG
record	record#	record+N+SG
date	date#	date+N+SG
school	school#	school+N+SG
systems	system^s#	system+N+PL
instructions	instruction^s#	instruction+N+PL
principals	principal^s#	principal+N+PL
teachers	teacher^s#	teacher+N+PL
information	information#	information+N+SG
record	record#	record+N+SG
forms	form^s#	form+N+PL
information	information#	information+N+SG
pieces	piece^s#	piece+N+PL
information	information#	information+N+SG
school	school#	school+N+SG
desegregation	desegregation#	desegregation+N+SG
desegregation	desegregation#	desegregation+N+SG
exceptions	exception^s#	exception+N+PL
product	product#	product+N+SG
result	result#	result+N+SG
court	court#	court+N+SG
order	order#	order+N+SG
information	information#	information+N+SG
desegregation	desegregation#	desegregation+N+SG
schools	school^s#	school+N+PL
states	state^s#	state+N+PL
states	state^s#	state+N+PL
desegregation	desegregation#	desegregation+N+SG
fact	fact#	fact+N+SG
region	region#	region+N+SG
opposition	opposition#	opposition+N+SG
Desegregation	desegregation#	desegregation+N+SG
resistance	resistance#	resistance+N+SG
interposition	interposition#	interposition+N+SG
pupil	pupil#	pupil+N+SG
assignment	assignment#	assignment+N+SG
assignments	assignment^s#	assignment+N+PL
children	children#	children+N+SG
hate	hate#	hate+N+SG
bombings	bombing^s#	bombing+N+PL
evidence	evidence#	evidence+N+SG
increase	increase#	increase+N+SG
desegregation	desegregation#	desegregation+N+SG
increase	increase#	increase+N+SG
result	result#	result+N+SG
court	court#	court+N+SG
order	order#	order+N+SG
school	school#	school+N+SG
desegregation	desegregation#	desegregation+N+SG
school	school#	school+N+SG
desegregation	desegregation#	desegregation+N+SG
action	action#	action+N+SG
result	result#	result+N+SG
court	court#	court+N+SG
order	order#	order+N+SG
citation	citation#	citation+N+SG
court	court#	court+N+SG
action	action#	action+N+SG
paper	paper#	paper+N+SG
desegregation	desegregation#	desegregation+N+SG
plan	plan#	plan+N+SG
plaintiff	plaintiff#	plaintiff+N+SG
county	county#	county+N+SG
school	school#	school+N+SG
board	board#	board+N+SG
court	court#	court+N+SG
hands	hand^s#	hand+N+PL
school	school#	school+N+SG
desegregation	desegregation#	desegregation+N+SG
school	school#	school+N+SG
desegregation	desegregation#	desegregation+N+SG
court	court#	court+N+SG
order	order#	order+N+SG
school	school#	school+N+SG
children	children#	children+N+SG
personnel	personnel#	personnel+N+SG
desegregation	desegregation#	desegregation+N+SG
suits	suit^s#	suit+N+PL
cities	city^s#	city+N+PL
number	number#	number+N+SG
children	children#	children+N+SG
school	school#	school+N+SG
court	court#	court+N+SG
decisions	decision^s#	decision+N+PL
court	court#	court+N+SG
plan	plan#	plan+N+SG
school	school#	school+N+SG
desegregation	desegregation#	desegregation+N+SG
result	result#	result+N+SG
plan	plan#	plan+N+SG
children	children#	children+N+SG
schools	school^s#	school+N+PL
districts	district^s#	district+N+PL
appeal	appeal#	appeal+N+SG
plan	plan#	plan+N+SG
court	court#	court+N+SG
orders	order^s#	order+N+PL
desegregation	desegregation#	desegregation+N+SG
Desegregation	desegregation#	desegregation+N+SG
court	court#	court+N+SG
order	order#	order+N+SG
date	date#	date+N+SG
admission	admission#	admission+N+SG
parents	parent^s#	parent+N+PL
application	application#	application+N+SG
admission	admission#	admission+N+SG
children	children#	children+N+SG
schools	school^s#	school+N+PL
Desegregation	desegregation#	desegregation+N+SG
suits	suit^s#	suit+N+PL
plaintiffs	plaintiff^s#	plaintiff+N+PL
school	school#	school+N+SG
boards	board^s#	board+N+PL
school	school#	school+N+SG
district	district#	district+N+SG
schools	school^s#	school+N+PL
decision	decision#	decision+N+SG
recapitulation	recapitulation#	recapitulation+N+SG
school	school#	school+N+SG
